,cluster
181987,2
94140,2
25104,6
77089,3
15871,2
163341,2
185770,2
104275,2
163884,2
27912,2
153364,5
91667,0
4955,2
38549,2
240139,5
93744,1
204503,2
221211,2
192818,1
78853,2
139839,0
83930,2
62790,2
5235,2
127706,5
33829,3
248835,2
141325,5
107000,2
9008,2
48136,2
100638,2
125153,2
86217,2
210051,2
59313,0
137003,5
126626,5
121894,2
213441,2
36497,2
194499,2
31494,2
208684,2
201742,2
226733,5
100811,2
10979,2
206414,2
109455,1
101244,2
170807,2
172171,2
247676,2
216977,2
162754,2
38377,2
202800,6
164001,2
175418,0
124409,6
3219,2
96257,1
244593,0
187777,0
20335,2
162224,2
48520,5
113723,2
32674,1
68663,2
227654,2
124314,2
241539,5
103893,2
225800,5
162146,2
122243,0
223441,2
71244,2
17289,2
100105,2
178904,5
90395,2
16661,5
197117,3
73396,5
99818,6
171593,2
99336,5
108500,2
74293,5
60946,2
229366,2
100872,2
129966,2
175424,5
216910,2
68130,0
98099,2
69557,2
129563,2
192622,2
15207,2
120551,5
50329,5
211338,2
95274,5
221522,1
47228,2
25626,3
155070,3
204952,1
827,2
22785,2
231844,2
227701,2
233432,6
52727,2
104319,2
223193,2
231314,2
9180,2
125558,6
49369,2
172778,2
136278,5
120912,5
112611,2
151425,5
30304,2
129420,2
176173,5
226201,2
41917,2
232862,5
97854,2
169323,2
242704,2
38807,5
112106,2
22335,1
206403,2
237295,2
128665,2
199466,2
231578,2
131541,2
126142,2
195086,5
252740,2
149367,6
232753,2
214378,2
125462,5
105045,2
240283,2
16768,2
145575,2
105401,2
167545,2
129124,5
89461,2
126179,5
207286,2
37170,2
110114,3
22958,2
195849,2
226080,2
250286,2
105770,2
141296,5
166046,5
163250,2
49270,5
43481,2
109871,2
154618,1
24805,2
20237,2
43303,2
211208,2
88949,5
44575,2
217112,2
143257,2
116270,2
178642,6
141283,5
157254,2
143837,5
181485,2
169083,2
251405,2
32307,2
3382,2
219865,2
231981,2
177449,2
194203,2
211843,6
173820,2
142321,2
243819,2
166609,1
10444,2
214710,2
129384,5
151316,5
1441,5
51911,2
97064,2
144585,2
182264,2
27652,5
163668,2
77515,6
221920,2
236592,2
217304,2
122657,2
231492,2
130346,6
229302,6
242314,2
93079,2
31175,2
200199,2
93962,5
178698,5
235974,2
8037,2
180058,2
158368,6
155413,5
127705,5
136026,5
116845,2
104037,2
38760,2
96054,2
210459,5
21300,2
143099,2
122921,2
253643,2
36739,2
104889,2
90051,2
239582,7
130760,1
36553,3
183468,2
171841,5
16908,2
102925,2
89152,2
58752,2
181166,0
219824,1
142411,2
89881,2
181550,5
36536,2
162704,2
242681,5
18969,2
193924,3
171834,3
58629,2
224458,2
42569,5
91701,2
133662,5
47436,2
158996,0
7723,5
18095,2
12107,2
4294,4
37531,2
202325,2
113281,2
158280,2
192655,2
103840,2
52512,2
142578,2
130179,2
249973,1
204725,2
166940,2
179890,2
178292,2
84554,1
185901,2
227477,2
50485,0
109573,5
140034,2
60420,1
79891,2
106818,2
144302,2
240780,5
176699,2
180215,2
228530,2
125437,2
175585,2
209655,4
216007,2
211343,2
119265,6
231290,6
138489,2
71386,2
116278,2
88128,3
45788,2
101422,1
88106,2
107845,5
30638,2
6903,2
6222,5
156077,2
154144,2
232231,5
122895,7
103873,2
242455,2
153582,2
195565,2
64989,5
77131,2
99571,3
157857,2
219451,5
251756,2
247259,2
5550,5
166091,2
12526,0
4765,2
192516,1
240571,5
152241,2
16486,2
48054,2
253124,0
251913,5
115458,2
229399,1
176836,2
251603,2
85632,6
66545,6
58708,2
120423,2
365,2
128727,2
165514,2
181632,2
131213,1
60842,5
99563,2
150724,5
13676,2
26625,1
116641,2
141953,2
13496,2
242936,1
3482,2
62199,2
103949,2
142438,2
228964,2
148510,5
4424,2
222383,2
104150,2
70895,0
192495,5
34066,5
114645,2
63124,2
90900,4
132657,3
165972,5
117624,2
72965,2
47692,2
139295,5
90018,2
173518,2
212675,2
251401,5
147067,2
98281,2
202937,2
127952,6
141300,0
142995,1
149310,2
39939,5
217181,2
181021,2
78105,2
76689,2
67679,2
28991,6
204713,2
51529,2
81187,2
131633,2
244411,5
50771,2
94102,2
32085,5
186010,2
239081,1
253421,2
211807,2
193471,2
27262,2
69498,2
125025,5
244888,2
174612,2
202374,2
87577,2
72330,6
41628,2
69178,6
62144,2
186101,2
56017,6
88258,2
56946,2
189022,5
236398,2
36971,3
90591,2
6226,1
155279,2
239447,6
127748,3
186915,5
144098,6
185979,2
68262,6
208098,2
72451,2
253255,2
76250,2
77361,2
122982,6
109708,2
174738,2
163875,6
56259,5
212218,5
194346,5
13903,3
33330,2
234607,2
183308,5
98878,2
220984,3
40323,2
8668,5
153904,0
126027,2
71444,5
7667,6
99484,2
128539,2
161860,0
16858,2
219073,2
94605,2
126647,2
49396,5
237354,2
10237,2
33711,2
232755,2
100500,5
164048,2
36470,2
54121,5
47575,2
78756,2
127858,3
244290,6
84526,2
32967,2
238974,2
41115,5
241845,2
108664,2
190169,0
206331,2
126711,6
144000,5
184459,2
165365,6
148995,2
8538,2
213824,2
176178,2
70830,0
85672,3
20591,2
8794,1
26072,2
165260,4
79043,3
111317,6
250624,6
215831,2
25518,5
35053,2
187114,6
74592,5
104735,2
248979,5
39750,2
113849,2
130998,2
60622,2
51405,2
207667,2
188217,2
173410,2
10108,2
123172,1
229055,2
181720,1
146598,2
110847,3
196754,1
24293,2
24355,2
104453,2
236983,2
92309,5
251341,2
92444,5
148488,2
169697,3
165503,3
132815,2
117615,2
125616,2
13887,2
216835,2
57299,2
228526,2
143867,2
14889,5
118981,2
245010,2
218422,6
248742,2
220083,6
31468,2
87147,2
187995,5
226762,6
142958,2
132682,2
96912,2
182642,2
48818,2
219661,2
152277,2
147373,2
173154,2
226592,2
127608,2
166012,1
198430,2
135883,2
199917,2
250976,2
232147,2
141351,2
76382,2
160986,5
61289,2
223908,0
15953,1
244768,2
191240,2
50996,2
108861,5
196427,2
141144,0
214387,2
202956,2
144845,2
198487,6
189251,2
1608,5
143362,2
33253,2
167178,1
121491,2
76834,2
193704,2
128449,5
228504,2
177148,2
229416,2
78183,5
225095,2
212695,2
44874,2
5124,2
36176,2
66262,3
86550,4
35032,2
168006,2
29198,5
122394,2
86857,2
198801,6
247152,2
85210,5
186182,2
100463,0
110784,2
183963,2
12247,5
228188,2
152512,2
43427,1
101238,2
137518,3
69280,2
181489,0
253012,5
24214,2
188038,2
157177,2
231140,2
241049,3
12024,5
161235,2
202821,2
154720,5
193029,2
114159,2
232344,6
80520,1
244016,2
127973,2
99595,2
64814,2
32656,2
223679,2
114467,5
141708,2
129074,5
172221,2
109665,2
62784,2
133022,5
34667,2
200743,2
9601,6
216461,2
163981,1
48560,5
131959,2
160354,2
128570,5
209378,2
169611,2
87031,2
87561,5
27258,2
135733,6
138541,5
238937,5
80895,6
18696,2
133397,2
239954,2
201159,2
162838,2
69763,2
136194,2
42703,0
77842,2
130428,2
150300,2
64777,5
235957,6
222101,2
226814,2
50157,2
235081,2
173201,2
45900,2
77504,2
105820,3
244191,2
157222,2
63085,2
149238,2
196464,2
6340,1
186331,2
234754,2
147839,2
168082,6
55478,2
105969,2
61527,2
187689,0
94393,2
110370,2
164596,6
183611,2
101510,2
36070,2
152496,2
117987,2
13910,6
152898,2
241294,2
2680,5
152310,0
118336,2
167096,2
72290,2
200471,5
91216,2
132715,3
22034,2
83388,2
113800,2
49245,5
99508,2
224205,6
146370,2
87400,2
57502,2
122367,2
114601,2
35512,2
153452,1
67392,2
78159,0
225838,2
123748,0
32614,2
44717,2
146030,2
236958,5
201120,6
50618,6
227979,2
73551,2
237359,5
228353,2
154248,5
42814,2
12472,5
35278,5
250011,0
218087,5
136113,3
152544,2
133056,2
101916,2
114213,2
45785,2
237639,2
99809,2
212300,2
120388,1
150712,2
200045,2
123355,3
96503,0
216511,5
107079,2
253207,2
139436,2
214854,5
2996,2
11831,2
122551,3
27718,2
86635,2
243085,2
45137,2
105219,2
154137,2
49897,2
181368,2
222167,6
173058,2
38086,3
60170,2
158426,5
145692,2
219968,2
2877,2
249483,2
126680,2
147180,2
183851,3
44861,2
193427,3
206709,2
160822,2
28507,2
166100,6
160382,0
199358,3
189295,2
118725,2
121391,0
5054,5
177993,5
29463,5
20704,2
18054,2
103958,2
43777,2
167717,5
69695,2
36798,2
75279,5
117953,5
67146,0
33850,1
91235,2
232729,3
252644,2
20244,2
3349,1
14617,5
204592,6
37893,5
169279,2
247587,2
214123,2
216719,2
134624,2
45804,5
170666,2
169251,2
114119,2
107760,2
124831,5
118280,2
172918,2
124355,5
194695,5
4096,3
51206,2
134256,2
113612,1
237425,3
36021,2
7801,2
170649,2
245994,2
23506,2
225151,3
64119,2
135741,0
22786,6
66658,2
37518,5
52451,1
179099,5
125803,2
33344,2
114514,2
61496,5
203344,2
88696,5
92693,2
225962,3
33741,2
150028,2
29475,2
58154,5
73476,2
57021,5
205510,2
231183,2
148004,2
124704,2
120810,5
89065,2
153470,2
76879,3
57278,2
