,cluster
227768,2
191199,2
78586,2
112836,6
90415,2
55495,0
26446,5
253427,2
88271,1
167566,6
218758,2
207625,2
35418,2
241077,2
19762,6
229701,2
142155,2
5029,2
6353,2
165464,2
29393,2
41340,3
42424,6
37794,6
252124,2
234019,1
18185,2
205067,0
19767,2
126781,2
223355,2
177786,2
53009,2
98704,2
242059,2
183452,5
95072,2
12821,1
190383,2
240983,2
179909,3
157306,2
12671,6
217450,5
160547,2
165507,2
120638,5
92586,2
12400,2
182330,0
85643,6
16661,6
244363,2
110922,6
144926,2
720,2
234000,2
193533,6
107943,5
85956,6
222527,2
134924,2
53390,3
137450,2
49114,1
115994,2
212975,2
199389,2
103252,2
104322,2
105812,5
12213,2
53784,1
56645,6
212199,6
210467,3
175885,6
207853,2
118846,5
149860,1
151756,2
85816,5
126706,2
120986,2
164986,2
163458,2
24740,2
16738,6
2288,0
61441,2
7620,6
194309,0
148347,2
234183,2
107294,2
57710,1
219589,0
249387,7
249283,2
123107,2
137307,2
175990,2
248151,2
185953,2
207022,2
229628,2
47024,3
113799,2
239051,2
60591,3
2326,2
7423,6
112390,2
252415,6
35833,6
77900,2
134471,2
246329,2
14281,2
164124,2
93149,3
168774,2
77509,2
44458,5
68688,2
80659,6
185600,2
45113,2
198376,2
21848,2
75913,3
120729,2
1491,2
74832,5
128390,6
232438,6
90802,0
75372,5
85857,5
57176,2
100159,2
235508,2
234808,2
124554,2
33131,2
26899,2
234480,2
224376,2
230470,6
122752,2
156339,1
30217,3
155289,6
144967,2
71908,2
181700,6
48691,2
121233,2
53589,2
127975,2
4845,2
209812,2
19251,2
42034,2
38121,2
69111,2
100625,2
41155,2
36804,5
210387,6
199562,2
36442,2
33801,5
46911,2
8893,1
35150,2
152813,2
135185,5
122560,6
36312,2
206131,2
245584,2
214106,6
10907,3
8111,1
132725,2
129409,2
195394,2
173340,2
87315,2
248473,2
246463,2
55555,2
242558,2
61433,6
164123,2
55024,2
241928,0
127380,0
96354,3
133057,2
176078,2
142426,2
175081,2
131391,2
108263,2
113470,2
19724,2
129093,2
234715,2
178599,2
119070,2
239262,2
85162,0
102754,2
100494,2
122645,2
191054,2
181026,2
24580,2
24444,2
43240,2
151566,2
16390,0
66962,5
179935,5
140733,2
201771,3
91556,2
11212,2
84761,6
187816,2
128286,2
157893,2
23247,2
52152,2
167396,6
98127,2
84534,6
22799,2
183351,2
159829,5
108068,2
151171,6
13291,2
54101,2
86465,2
131443,6
126001,2
175813,3
86803,2
111072,2
151904,2
152801,5
69960,2
236680,2
105132,2
101845,2
52207,1
252312,2
224860,5
143249,2
90185,6
109411,2
233307,2
158692,2
99427,6
196413,2
46526,6
226060,1
168107,2
126424,2
150804,2
83762,2
221422,2
219271,2
151632,2
143535,2
6951,2
19297,4
78649,2
100450,2
43891,5
215157,2
200418,2
192324,2
37151,2
239314,2
126923,5
143232,2
53627,2
154029,2
63152,2
51503,2
22371,2
46175,6
160945,2
185296,2
209930,2
92843,2
72329,0
215032,6
161684,6
199407,2
112539,2
214996,6
92671,2
28967,5
179225,2
34740,7
206108,6
54698,2
50740,3
69315,6
162522,2
221430,6
186318,2
248756,2
71081,2
121662,6
121997,2
2225,2
169278,2
32775,6
194276,6
200819,2
206986,2
180734,3
50822,2
160955,2
8969,2
250651,6
11502,2
71730,2
169742,6
170673,2
43067,6
50132,2
110959,2
50181,2
135090,7
177836,2
43370,2
211971,2
149339,2
75347,2
247262,6
46883,2
249273,1
210360,6
72567,1
13312,2
100390,6
97007,3
170020,2
181056,2
139845,5
33443,2
5424,2
234494,2
230074,2
234969,2
142981,6
36262,2
132086,2
223690,2
151710,2
6278,2
208526,2
18695,5
3592,0
104826,2
130037,6
62010,6
204931,2
156450,2
192168,2
72402,2
27874,2
80637,2
134612,0
44270,0
113972,2
242137,2
184144,2
144631,1
162181,6
105287,6
148008,2
246246,6
79894,2
5862,2
210518,2
223621,2
189847,6
200709,2
148635,2
24937,2
12503,2
222839,3
109418,2
21199,6
174176,2
1535,2
172402,2
73427,2
15603,1
101131,2
88754,1
212901,2
106199,3
45919,2
176920,2
228260,6
160932,2
239472,5
33264,2
51838,6
111312,2
176104,2
39862,1
101570,5
175732,2
94828,2
182425,3
93425,2
52411,5
122201,6
151876,2
131537,2
47836,2
152345,2
8293,2
231535,4
20526,2
113359,2
81884,2
86375,2
149416,2
194362,6
98160,2
136760,2
150272,2
10795,6
40838,6
185041,1
150540,6
119307,2
35723,2
78729,2
205806,6
96092,3
125950,1
48617,2
121148,2
86030,2
4080,5
242464,2
27431,6
55194,2
105457,2
154116,2
186489,2
82074,3
234153,2
173549,6
167086,0
91462,2
204846,2
92930,2
222036,2
123094,2
44344,2
104092,2
251036,2
50734,2
219640,2
172293,2
231079,2
63304,2
93686,2
58955,2
22924,2
72466,2
179605,6
166104,2
95444,2
110927,2
45383,2
217481,2
181039,0
61111,6
193471,2
28959,0
234194,2
231805,2
158226,3
148779,0
14748,6
23542,2
36039,6
153763,2
215465,2
156439,2
22129,2
24353,2
158520,3
242749,2
177806,2
13402,6
205110,2
66779,0
193091,2
249426,2
144927,2
231675,3
129102,2
154285,2
98913,2
107991,6
39166,2
11641,2
58552,5
130598,2
139766,0
19118,2
9572,4
108443,2
86053,2
235539,2
150356,2
53922,5
149902,3
100046,2
168376,2
244664,2
150702,2
190500,3
103858,2
127969,2
96729,2
161747,2
19409,2
89744,2
125503,2
36000,3
237189,2
115861,5
56994,5
229852,2
195726,2
149296,2
198573,2
213741,6
227136,2
251413,2
178868,1
9945,2
170592,2
53283,2
