,0,1,2
219620,-0.11941008171616284,0.17686778738348408,-0.19854912516747325
132821,-0.3970676211530715,0.22209659607875867,-0.26342396995978495
151862,-0.338157446081083,0.10707264326973169,-0.4969401711488461
139717,-0.0014837972595263369,0.10676814197687269,-0.5757509182143774
239235,0.9172737361434472,0.32787089317734575,0.4385613173760283
68060,3.9029104208597705,0.42001775583088746,-0.3224152153785755
34035,-0.45514794851928314,0.15223716918079136,-0.4214853329640458
159729,-0.1877291411012133,0.19683558701193507,-0.16723667988245458
144332,-0.46895887759540017,0.17617917308847325,-0.40554334103987305
228468,-0.3762248383036513,0.1303988008231904,-0.43269595252422743
133226,-0.44179908202390183,0.12897373640738422,-0.4556314393936608
27130,-0.04268823627469726,0.1686215628153642,-0.15044015985612563
122786,-0.061626390001177214,0.12267849690732535,-0.575536057377644
159238,-0.08017987068947821,0.21690031821991998,-0.3528283312815752
192865,0.00039835282657554156,0.12207384183493944,-0.5237511844669199
185246,-0.22856156684015336,0.14760993692878754,-0.32663891405567785
54451,-0.3143546010950022,0.13061902121658345,-0.42147863363492133
244037,-0.2998413849580746,0.1493170789973951,5.086552331347407
6469,-0.1830438302448423,0.2292117868937104,-0.13894603661749289
110822,-0.3186705640170532,0.11543057168394609,-0.43897195233110237
94787,-0.25334820308177275,0.25016058668474084,-0.13511400889661357
69379,-0.2226272997075289,0.13117272765388727,-0.34851860713858274
156206,-0.19365690451521714,0.21161784255052332,-0.026790629802459404
190054,-0.43891038637157526,0.15873918493802244,-0.4454122715907228
84444,0.5664150539724107,-4.87028553426292,1.2403175526015284
76038,-0.313587411722151,0.2971782376807424,0.3965807931623705
19390,-0.46961247185755034,0.10267466727991206,-0.555425354704352
132540,-0.4603046870191033,0.11662552779182137,-0.49007399768875537
204342,-0.3605205537179688,0.15735951314986385,-0.3421076376548267
47714,3.887131254167646,0.3215330193704633,-0.5152811749600859
231200,-0.4251968613204198,0.10462880046483494,-0.5253652180384377
