,cluster
219620,4
132821,4
151862,4
139717,4
239235,7
68060,3
34035,4
159729,4
144332,4
228468,4
133226,4
27130,4
122786,4
159238,4
192865,4
185246,4
54451,4
244037,2
6469,4
110822,4
94787,4
69379,4
156206,4
190054,4
84444,1
76038,0
19390,4
132540,4
204342,4
47714,3
231200,4
15125,4
54736,4
94177,4
28596,4
250300,4
162233,4
185295,4
171893,7
39671,4
48851,0
118344,1
97980,4
142187,4
207737,0
225636,4
106583,4
217292,3
125525,4
206054,4
144724,4
222675,0
210152,0
95261,4
209448,4
200536,0
223645,4
27636,4
163406,0
220453,4
79537,4
110742,4
149133,4
252177,7
194305,7
98726,4
134250,4
135893,4
190381,4
68258,4
162796,4
49432,1
3930,0
162740,4
251849,4
237446,0
90953,4
31734,2
179908,7
206313,4
78056,4
33255,4
108337,4
130844,4
107618,4
219898,4
57811,0
157898,4
106909,2
188410,4
35024,4
26446,7
161230,4
45336,3
158416,0
22059,0
1696,0
189874,4
131080,4
100564,4
59125,4
219901,4
199435,0
8421,4
136181,4
187234,3
88381,4
14106,4
195950,4
58412,4
62834,4
222664,4
49442,0
127042,4
144077,4
76070,4
99149,4
146070,7
1197,4
198130,4
33612,4
224734,4
63847,4
111405,4
245030,4
63863,7
18336,4
13716,4
235138,4
146178,4
209713,4
202173,4
41162,2
171404,4
103233,1
91876,4
146852,3
134323,0
190985,4
99708,4
155952,1
209067,0
218395,4
79316,4
109230,4
23044,4
199954,3
163060,0
175249,4
162078,4
253135,0
204525,0
31865,4
253464,6
210636,4
98784,4
231565,4
147109,0
8839,1
127352,4
87547,4
128893,4
40099,4
202400,4
39803,0
103407,4
31038,4
245412,4
227831,4
194558,4
44836,7
88993,1
103791,4
39175,4
237038,0
167081,0
114070,4
207967,4
84747,4
198523,4
52972,4
231218,4
241784,0
224874,4
159604,4
213285,7
20218,4
147986,0
86193,7
52039,4
7802,4
247785,4
218831,0
244987,4
54403,4
226902,4
219985,4
204687,4
174246,4
206923,0
213034,4
205256,0
715,4
103711,4
189061,0
68962,4
249723,4
42969,4
57456,4
205344,4
47154,4
202823,4
118940,4
153300,7
108635,4
44284,5
188537,0
48126,4
8655,4
46317,4
122642,4
84233,4
222341,4
13037,7
32513,7
87625,4
115909,4
95284,4
182053,4
168338,4
223577,4
214452,0
66086,4
249678,4
94212,4
222080,0
235451,4
192266,4
167347,4
239507,0
75895,4
203783,4
212719,4
139202,4
22214,4
250413,2
109234,4
31906,0
219962,4
202532,4
239182,1
167675,0
62940,1
83643,0
161526,0
124850,4
97835,7
9061,4
215145,4
141008,3
184997,3
144630,4
49785,4
12415,0
95811,4
140325,4
15424,4
144046,0
65172,4
246053,4
44298,0
238353,4
153518,3
230854,4
240722,4
34770,4
46570,0
247932,7
253009,4
86131,3
155474,4
68511,0
224436,4
217356,4
46530,0
186675,0
143483,4
119740,4
122018,2
168387,4
106431,4
177716,4
135054,4
35393,4
102691,0
66848,4
175615,6
251442,0
215961,4
126974,4
25606,4
11650,4
49154,4
54053,3
189204,4
217549,4
152208,4
39691,4
176891,3
27874,4
228543,0
148435,4
240358,4
145226,4
129596,2
172021,4
108466,4
159334,4
128607,7
246792,4
89035,4
174119,0
124216,0
94496,4
247601,0
33682,1
202186,3
54271,4
80307,7
159134,4
116913,4
217111,4
96234,4
79801,4
242475,4
227023,4
63307,4
175802,0
188650,0
56225,0
61389,1
159983,4
176395,4
15413,7
99631,4
224645,4
59940,4
109661,4
111797,0
176937,3
95723,7
188744,4
133279,4
57664,1
34113,4
47360,2
99136,4
102070,4
236793,4
114956,1
182002,4
11119,4
154003,4
162878,0
183135,4
35795,4
139996,4
20629,0
78622,4
185489,4
5810,2
175822,4
107411,4
231250,4
143253,4
57510,4
180942,4
141851,4
2913,4
191955,4
235974,4
201116,2
68865,4
30386,4
96435,4
130667,4
102144,4
29524,4
91899,4
186698,4
22395,4
191924,4
175834,4
159656,4
144556,7
218754,4
31022,0
156672,7
186931,0
18381,3
47088,4
78827,4
22684,4
39326,4
170022,4
84144,7
235895,4
36353,0
30596,0
29886,0
179942,4
52213,7
25027,4
200763,4
228009,0
250541,4
107210,4
23712,0
11011,4
4598,3
155529,4
149420,0
62446,4
246338,4
221619,4
239941,4
31878,3
91697,4
58516,1
152071,4
141251,4
232514,4
244896,1
173280,0
210390,4
119626,4
101899,4
208515,0
219439,4
241966,0
98871,4
73378,3
222962,4
200081,0
104452,4
124622,4
7221,4
24323,4
44611,4
155820,4
186610,0
155592,4
181527,4
125973,4
17318,4
19319,4
55592,4
215299,4
175166,4
1069,4
23366,4
182581,4
90424,4
140890,4
170794,0
209972,4
55920,4
185971,4
85893,0
59579,4
150940,0
130743,4
163960,7
55102,3
251144,0
2449,7
136910,4
86552,4
251532,4
188720,2
231651,4
170028,0
61512,4
229796,4
89697,4
184865,4
179465,4
136462,3
203512,0
10481,0
200893,4
53809,4
128644,0
28075,4
173682,4
210970,4
117445,0
150808,7
131920,4
114408,4
51918,4
53344,1
170592,4
18575,4
13136,4
218891,4
17706,7
223092,4
237305,4
171058,0
191633,4
111378,4
153050,4
32715,4
242416,0
171766,4
108713,0
157983,0
114995,4
158665,3
138971,1
127396,4
13538,7
240856,4
27505,3
113412,4
196481,4
112730,4
172680,4
187621,0
223395,4
197985,4
180002,1
65100,4
6124,1
73576,4
179016,0
499,4
40380,3
109246,7
151427,4
202333,4
145523,4
103354,4
164977,7
244867,5
59877,7
240486,4
90996,4
118988,4
210453,4
117364,4
63439,7
34548,4
97265,4
63042,4
49042,4
198514,4
153247,4
144047,4
182641,4
57075,4
217454,4
111883,4
115885,4
248490,4
105972,4
174283,4
146484,0
108143,4
180477,7
251353,0
28870,4
216725,4
184519,4
78556,4
206189,4
30601,4
109064,7
23369,4
224947,2
164753,4
31525,4
62043,0
218813,4
32990,1
130207,7
211622,7
18517,0
65962,4
244499,4
233340,4
80673,2
17908,4
221240,4
21096,4
67071,4
55827,4
210350,0
8665,4
98581,4
96531,4
249538,7
242767,4
73682,4
135421,4
209973,4
197934,4
163220,4
149918,0
246696,0
73613,4
242484,1
158802,4
66532,4
31738,4
174173,4
223502,4
220056,0
99418,0
234518,4
203986,4
80133,1
182476,4
210628,4
95014,4
192754,0
130162,4
48240,0
37526,4
216800,4
30818,4
23340,1
152060,4
110399,4
4361,4
106215,4
197211,2
68011,4
101087,4
121894,4
142374,4
152283,4
191472,4
230599,4
231593,4
22619,4
155718,3
795,4
177956,7
135262,4
151703,4
51410,4
112426,4
113162,4
34117,4
37801,0
212898,7
48195,1
104036,4
242914,4
45564,4
167060,4
175230,0
185470,4
170989,4
192793,0
159595,4
130658,4
130590,5
229073,4
194935,0
118837,1
121731,2
194568,3
201082,0
56982,4
143725,4
245269,4
67538,0
221246,2
105943,7
25222,0
14841,4
46603,4
160773,0
157122,5
239792,4
30490,4
21580,4
63538,7
73986,4
203608,1
90916,4
245848,7
196050,4
93013,0
35793,4
211913,4
41832,0
166283,4
110647,4
11537,2
154633,0
241214,4
245402,4
41769,0
66204,4
169963,4
161974,4
75744,4
97327,4
233357,4
89914,2
242762,2
87297,4
71806,4
211049,4
210275,4
46987,4
120552,4
201230,4
57227,4
79357,0
138398,0
6080,0
87722,4
94931,4
239138,0
28627,4
245046,4
42247,4
23627,4
17272,4
106482,0
226765,4
79128,3
148169,0
60473,4
126073,0
62556,4
206150,3
76281,3
172818,4
93964,4
19004,4
180741,2
200072,4
238859,0
232146,7
205943,3
96267,4
67783,7
247447,4
17832,5
175496,4
219407,0
96297,4
216479,4
171207,4
48804,1
168834,7
2748,7
233417,4
201383,4
67447,4
35721,3
53086,7
27367,4
126736,2
65497,4
220823,2
78470,4
9300,4
49779,4
71412,0
28107,2
237294,4
24469,4
68564,3
161600,4
163757,4
220797,4
35964,7
99342,4
68315,4
21237,4
111503,1
1027,4
14237,4
49694,4
58622,4
100267,0
161401,4
79512,4
142825,0
99130,0
72533,4
22018,0
70992,4
111154,4
140442,4
102137,0
6576,4
177745,4
234596,4
85601,5
204250,4
137265,0
30258,4
144975,0
105607,4
12913,0
86430,4
233310,0
49770,4
136250,4
207842,4
94532,4
28581,4
195314,0
32271,4
210912,4
209832,0
129059,4
120776,2
185848,4
107218,0
204878,4
161678,0
149802,4
123337,4
150897,0
116768,4
110204,4
190626,4
148752,4
238289,4
51577,4
131142,0
222012,0
167616,5
186570,4
185443,3
94975,4
224274,4
75574,4
88127,0
102718,4
26653,4
222066,4
34771,4
143878,4
11501,4
159769,7
164082,0
88432,0
47178,2
107783,4
27693,3
968,4
244195,4
150077,4
31815,4
248365,4
157776,4
61890,4
140972,4
176845,4
21098,4
170700,4
67098,0
99024,2
195539,4
90856,4
139169,4
191954,4
56300,4
31456,4
39953,0
176688,4
124415,4
103673,4
111617,4
121655,0
131035,4
194459,6
77502,4
246259,4
40678,0
211694,4
178898,4
221364,4
184618,7
52471,4
52961,4
55704,4
238046,3
119707,4
212951,4
24368,0
170212,4
17436,4
37298,4
150244,4
87164,4
14053,1
102580,4
131646,4
75039,4
136242,3
153517,3
157452,4
246109,4
222615,4
59787,4
36686,2
145319,6
77399,4
212841,3
38153,3
140359,4
130178,4
162345,4
65085,4
49023,2
161097,0
242719,0
237090,4
94936,4
36675,4
219425,3
169818,4
151658,4
41197,4
41654,4
224415,4
96569,4
10206,4
200477,0
217724,4
16314,4
190687,4
100287,4
221522,3
224036,4
128844,4
72179,4
61172,4
69169,4
41326,4
21914,4
106203,4
93692,4
201176,0
143002,7
54539,2
194121,7
229549,4
83296,4
200426,4
148863,7
129250,4
176725,7
175921,4
53457,4
219752,4
172231,0
143284,7
168827,4
246076,4
88922,0
235862,4
17049,4
48079,4
252367,4
227275,4
37370,4
106588,4
244684,4
172940,7
223148,3
176696,0
20084,4
194465,0
118697,4
196760,0
227028,6
21905,4
91979,4
208959,0
34601,4
223152,4
80552,0
190896,4
93451,4
224926,4
4688,1
119927,0
213418,4
198949,3
60831,4
69839,4
125330,4
151624,0
192410,0
220864,0
216611,4
88816,0
113938,4
184016,4
122292,4
148814,0
144754,0
189670,0
105598,4
101061,4
190296,2
194625,4
238449,0
62791,4
120081,0
60895,4
82585,4
205067,3
152660,4
217908,4
196528,4
162451,4
170368,3
50675,4
74798,4
224420,0
251413,4
196274,4
16340,4
37435,4
9568,4
174840,4
239177,4
41084,4
220148,1
60639,4
157109,7
248651,4
61170,0
228243,4
61423,4
73453,4
77149,4
205088,4
128587,4
54687,4
205393,3
155271,4
10645,1
141291,4
200447,4
73408,4
44524,4
136257,4
188360,4
137563,7
51560,4
130019,4
247656,0
105279,4
213627,4
164089,1
40066,4
50340,4
180135,0
37758,4
238615,4
68360,4
238244,2
141131,0
163914,1
143151,3
173093,0
40766,4
232422,0
61834,3
206155,0
24118,4
165288,7
103353,4
9838,4
203519,0
114278,6
55446,4
134131,0
185521,4
57466,4
227460,0
103566,4
80007,4
203107,3
147237,4
81749,4
54108,4
208495,7
247276,4
151561,4
195038,0
209992,3
171353,4
20225,4
123698,0
233940,4
5308,4
13845,4
248334,7
21410,4
252785,0
3560,4
193700,0
123883,4
128849,2
239823,4
11710,2
76583,4
96389,2
174450,0
212406,4
180949,0
170720,1
13083,4
93861,4
19618,4
119827,4
141241,4
196654,4
14742,5
142588,7
172484,4
109624,2
241049,2
1183,4
139001,4
232109,4
109679,4
179667,1
97778,2
179592,4
165194,4
33179,0
246129,4
112739,4
234615,4
176699,4
102446,4
116366,4
34461,2
233454,0
203803,4
196915,4
151299,7
1768,4
96814,4
116173,4
50475,4
197938,4
125109,3
10320,4
196626,4
142222,4
170543,0
209220,4
114493,4
248183,4
27995,3
125290,1
86809,4
215346,4
222982,4
28263,4
21616,4
12614,4
84250,4
82837,4
221366,4
197125,4
158410,4
194505,4
45189,0
16785,7
99101,4
43496,4
85442,0
102389,4
129896,4
233719,4
850,7
51331,4
206215,4
130525,0
134360,4
50155,0
32342,4
128696,4
108331,7
161922,0
30712,4
45316,4
205279,7
213182,4
170376,4
196564,4
240176,4
146355,4
37442,4
31614,4
191938,4
84857,5
59355,0
247475,4
128274,4
7628,4
23090,4
162940,4
245110,4
4488,4
52933,4
100478,4
194522,0
232567,4
185109,0
46544,4
49806,4
114488,4
121500,4
117824,4
68132,4
229560,4
91261,4
162770,4
34856,4
195550,1
194328,0
102695,1
98069,4
107145,4
151038,0
143390,4
164635,4
133371,4
178311,0
83527,4
164948,4
145446,2
137302,0
124669,4
45866,4
175609,4
213760,0
194769,4
11287,4
185339,0
163702,4
104054,4
189957,7
47381,4
211363,4
92642,4
182233,4
253505,3
182096,3
176003,4
235694,4
41802,4
96991,0
98933,4
91185,4
170253,4
58301,4
191217,0
186644,4
17308,4
128063,4
227816,4
158098,4
42823,0
118182,4
25380,4
65280,4
53934,4
244710,4
68106,4
45565,4
105200,4
137418,4
99387,4
217624,4
44018,7
58129,0
149971,4
191288,5
82902,7
186050,0
156151,5
165000,4
64537,4
133502,0
72396,2
11214,4
130633,4
49265,4
218397,4
69261,7
125315,4
83120,0
85459,4
157149,7
60871,4
140348,4
107558,4
42895,0
146064,4
235639,6
32308,4
143199,4
105746,7
208007,7
28510,4
248746,0
221523,4
246485,4
235945,4
31316,4
234348,7
147225,4
30693,4
61108,4
45726,4
213436,4
167622,4
112001,0
214555,4
154347,4
59433,4
74179,4
43115,4
205078,7
92988,2
207225,2
141030,4
182412,0
56294,4
235121,4
94189,4
121158,4
64580,4
222811,4
71213,4
62246,4
91750,4
148756,4
90584,2
37151,4
58779,4
242235,7
133112,4
144538,3
140173,1
57140,4
124366,0
69971,4
138005,4
239891,4
108701,4
34050,0
2852,4
31482,4
156167,7
97374,4
230841,0
66009,4
231485,2
71858,4
119030,4
69894,4
46616,4
169499,4
241427,0
135638,7
15066,4
132209,1
234112,7
31447,0
160916,4
243467,4
173701,4
177936,7
155073,2
71954,4
21386,4
30003,4
122716,0
237998,7
63929,4
53599,3
136634,4
80654,4
159565,0
231899,4
37579,4
96400,4
133415,4
13566,4
54724,7
107259,4
182056,4
79743,4
46322,4
142259,7
74909,4
74633,4
245662,4
137395,4
40207,4
57591,4
79575,4
241046,4
111535,4
211402,4
178640,0
118875,4
2018,7
135478,4
162555,4
81028,4
203406,4
239489,4
97923,1
227920,4
31671,4
50145,1
229230,4
74434,4
204105,4
226007,4
117720,4
66380,4
64940,4
67213,4
62749,7
96887,2
110372,0
56205,4
245952,4
46699,3
191292,4
7299,0
249913,4
154104,0
177442,5
50671,4
178657,4
189127,4
66166,4
87061,1
143419,4
167222,3
245633,7
153338,4
16194,4
225924,4
7251,4
84067,7
167612,0
72737,4
134101,4
226776,4
72929,4
6628,7
78584,4
79966,4
119983,4
89200,4
147543,7
173649,4
86634,2
82144,0
218440,4
68303,4
6207,0
221595,4
167501,4
216182,4
206816,4
178820,0
74677,4
125289,1
47225,4
14221,4
43636,5
139916,4
158929,1
88382,4
88686,4
218285,4
102028,0
6313,4
228696,4
220652,4
54652,4
80300,4
237350,4
226037,4
69119,4
207242,7
227088,0
113885,4
142869,4
249303,4
45346,4
23689,4
70876,2
217935,4
133165,4
226323,4
57765,7
98516,4
128967,4
39571,0
131684,4
75996,7
45525,4
247818,4
161288,4
38770,4
124382,4
149222,4
61551,0
148420,4
99424,4
217173,4
97121,4
210831,1
161168,4
22272,0
106729,2
198479,4
166185,4
75074,4
186863,4
30228,4
87910,4
217112,4
74056,4
141966,1
61078,0
256,4
42228,4
28260,4
199108,4
236376,4
172310,1
90605,3
250593,4
186767,4
106536,2
37204,4
132948,4
243155,2
34823,4
88390,4
243529,0
212744,4
77726,4
127683,4
207639,4
219259,4
223128,4
148551,4
97935,4
137151,4
89203,0
203722,3
63726,4
56489,4
28993,4
73284,0
249855,4
12077,3
164536,4
85516,4
32810,3
144076,4
231980,7
233907,4
88064,4
149033,4
68321,4
36596,3
68428,0
105883,4
150944,7
232447,2
225136,0
201162,4
108517,0
51825,4
75740,4
52706,4
47751,4
230990,4
229373,4
175787,4
52836,4
114231,4
69289,4
50992,4
121199,4
13817,4
5015,2
177821,2
164337,3
229732,4
74375,4
178429,4
4205,4
119876,4
90142,4
78442,0
85783,4
50432,4
5625,0
115141,4
183748,0
86277,4
69955,2
110921,4
138895,4
10936,4
112307,4
90924,4
55126,4
209034,4
226665,4
75197,4
228324,4
38762,0
40746,0
12592,4
29601,4
179229,4
68353,4
144492,0
249629,4
186471,4
54228,4
66175,4
84979,2
239424,4
92211,7
15943,4
4855,4
54421,4
141040,0
237926,1
137370,4
182553,0
144808,0
110784,4
239752,4
14392,4
187704,0
177066,4
49378,4
130342,1
128766,4
104175,0
218546,4
78933,4
33503,4
18793,1
38048,4
32073,4
106185,4
168429,4
18601,4
4523,4
244478,4
26925,4
191246,4
49478,4
23337,4
44181,0
70706,4
198502,4
41366,4
197470,4
71795,7
41595,4
102441,4
143726,7
78068,4
253306,4
73603,0
236448,4
69552,0
174285,0
170036,4
82591,4
165668,4
156907,4
149012,0
146808,4
84434,4
66946,4
168621,4
244017,4
146799,4
37139,4
252419,7
11546,4
70626,4
202884,4
186485,4
205369,7
205759,1
167226,4
33011,4
11233,0
165973,4
213460,4
221656,4
59445,4
9655,4
790,1
236106,4
129733,3
196153,0
147299,4
208086,4
167767,4
211888,0
203375,2
37862,4
245647,0
206385,4
246830,4
43092,4
6943,4
153611,4
233234,4
251136,0
66360,0
177259,4
186476,4
22351,4
56341,4
10524,4
121928,4
155728,4
232719,4
201143,4
229279,4
17282,7
124414,4
96204,4
148880,4
99311,4
137721,0
186566,4
240854,4
225980,4
191040,7
177835,4
246905,4
205766,3
96451,4
151195,0
210564,4
152752,4
242103,4
84792,4
239619,4
6783,4
701,0
126326,4
16732,7
106433,4
96505,0
134728,4
151205,4
165782,7
251686,4
227188,4
51068,4
252602,4
42367,4
48206,5
94768,4
199476,4
243680,4
184069,4
112538,4
221380,4
10764,4
227265,4
122577,4
65057,2
63848,3
97205,4
134871,4
160655,4
40560,3
68981,4
226982,4
166863,4
1572,4
94711,4
162273,4
229748,4
164366,4
53091,4
35072,0
174733,4
237223,4
65737,4
94895,4
51326,4
13082,4
230885,4
165187,0
42185,4
162395,4
107427,3
95302,0
183281,4
110319,3
124254,2
16243,0
217705,4
13795,4
170160,0
138019,2
87665,7
204348,4
149821,4
192925,4
6000,0
84364,0
38621,2
192165,3
81266,2
244294,0
239596,0
129166,4
166128,4
928,0
168426,4
41067,4
30464,4
86103,3
80867,0
15062,4
198717,4
240581,2
187056,4
41118,4
247029,4
125889,4
161746,4
