,cluster
211210,6
162279,6
234271,2
113439,2
239111,2
78540,2
63921,2
32213,2
252563,2
221109,2
250079,2
35095,2
127011,2
107201,6
112377,2
243812,2
77848,5
157218,1
35199,2
176028,2
100437,2
67408,6
168476,2
94973,2
159002,3
84832,2
38899,2
32224,2
152496,2
197062,2
187701,2
96291,2
171319,2
152324,3
46787,2
29036,2
57678,6
213850,2
110052,2
220396,2
107700,5
186469,5
22279,2
71868,1
77199,2
47360,3
41043,4
4490,6
44715,5
136508,6
22119,6
220865,2
210504,5
167711,2
90385,2
12952,2
226069,2
15654,2
123279,5
234613,5
199031,3
99615,3
92157,2
65613,2
188604,2
165475,2
219769,2
202000,2
123445,2
94690,2
136739,2
220914,2
74373,0
170212,2
18058,2
182838,2
195265,6
84456,3
144995,4
116496,2
69054,3
213549,2
304,6
151928,2
184863,6
96778,2
223276,2
14401,6
242870,2
196928,2
58528,5
83819,2
95108,3
155635,2
78669,0
204309,6
250678,2
171811,2
34032,2
39478,2
41360,2
172016,2
25748,5
227708,2
8,6
252742,2
49211,2
173429,2
109922,5
87115,6
67263,6
75304,2
174429,2
211565,2
162775,2
135665,0
229222,3
107844,1
152808,2
34675,6
45890,2
114328,2
153606,2
222319,2
183377,2
131836,2
233005,2
207800,2
248563,2
153232,1
44759,2
532,6
238139,6
111876,2
215457,2
16686,2
79792,2
176238,6
11852,2
9209,2
116115,2
165002,6
95175,3
179119,2
191366,2
172623,2
247971,0
117892,2
15993,2
147607,2
51592,2
63744,6
189660,2
47733,3
83797,6
15067,2
113157,2
10482,2
124340,2
239369,2
249806,5
199585,2
110405,2
210110,2
136528,2
86727,2
198959,3
111730,0
70533,2
30977,2
67612,5
112603,2
219230,2
129918,2
33287,0
113651,2
34223,2
174430,2
49963,2
157753,2
95378,3
178748,2
218981,2
19260,2
176141,2
230902,3
236212,5
125394,2
63884,2
239473,6
97463,2
100071,2
13542,2
159776,2
175760,2
41347,1
223524,0
104557,2
158813,3
201543,2
250519,2
220498,0
86737,2
198356,2
105977,2
211235,2
148207,2
65125,2
50312,2
68919,2
211822,2
34357,2
241214,2
101609,2
83301,2
73090,5
54720,2
154418,5
110823,2
27982,2
203766,5
114885,2
179500,1
187133,5
60409,2
15458,0
113961,2
243589,2
116573,2
130676,2
110340,2
201499,2
201956,2
155429,3
109851,2
37775,6
210769,3
71642,4
72700,2
202599,5
1333,2
